,nama,arti,arti_clean
0,Angkasa,yang bermakna langit,bermakna langit
1,Awan,"yang bermakna pendukung, langit",bermakna pendukung langit
2,Amat,yang bermakna mengamati,bermakna mengamati
3,Ahyad,yang bermakna mulia,bermakna mulia
4,Aidil,yang bermakna jujur,bermakna jujur
5,Arief,yang bermakna berpengetahuan luas,bermakna berpengetahuan luas
6,Aman,yang bermakna damai,bermakna damai
7,Aufa,yang bermakna kebenaran,bermakna kebenaran
8,Amien,yang bermakna harapan,bermakna harapan
9,Alam,yang bermakna dunia,bermakna dunia
10,Agastya,yang bermakna berpengetahuan,bermakna berpengetahuan
11,Batara,yang bermakna berwibawa,bermakna berwibawa
12,Buana,yang bermakna dunia,bermakna dunia
13,Bagus,yang bermakna baik,bermakna baik
14,Balu,yang bermakna anak yang jenius,bermakna anak jenius
15,Banyu,yang bermakna air,bermakna air
16,Biantara,yang bermakna penguasa,bermakna penguasa
17,Bintang,yang bermakna cahaya di malam hari,bermakna cahaya malam hari
18,Berkah,yang bermakna hadiah,bermakna hadiah
19,Candra,yang bermakna bulan,bermakna bulan
20,Chandrabanu,yang bermakna cahaya bulan,bermakna cahaya bulan
21,Diaz,yang bermakna membimbing,bermakna membimbing
22,Doni,yang bermakna raja,bermakna raja
23,Dihan,yang bermakna istimewa,bermakna istimewa
24,Dhamendra,yang bermakna pangeran,bermakna pangeran
25,Fayzal,yang bermakna kasih sayang,bermakna kasih sayang
26,Fidaan,yang bermakna selalu ingin membantu,bermakna selalu membantu
27,Farrel,yang bermakna pemenang,bermakna pemenang
28,Ismaya,yang bermakna bijaksana,bermakna bijaksana
29,Merpati,yang bermakna burung merpati,bermakna burung merpati
30,Elang,yang bermakna burung elang,bermakna burung elang
31,Fadhlan,yang bermakna hadiah dari Tuhan,bermakna hadiah tuhan
32,Galang,yang bermakna menghargai,bermakna menghargai
33,Gazza,yang bermakna berani,bermakna berani
34,Gesang yang,bermakna kehidupan,bermakna kehidupan
35,Garuda,"yang bermakna burung, penjelajah",bermakna burung penjelajah
36,Guntur,yang bermakna petir,bermakna petir
37,Gunadi,yang bermakna sesuatu yang berarti,bermakna berarti
38,Harta,yang bermakna berharga,bermakna berharga
39,Hanif,yang bermakna orang yang terpercaya,bermakna orang terpercaya
40,Hawis,yang bermakna pemikiran,bermakna pemikiran
41,Haydar,yang bermakna damai,bermakna damai
42,Hiraka,yang bermakna berlian,bermakna berlian
43,Hady,yang bermakna pemimpin,bermakna pemimpin
44,Hiras,yang bermakna berbakat,bermakna berbakat
45,Hitu,yang bermakna orang yang bermanfaat,bermakna orang bermanfaat
46,Iswara,"yang bermakna terhormat, berhati besar",bermakna terhormat berhati besar
47,Iman,yang bermakna menghargai,bermakna menghargai
48,Katon,yang bermakna nyata,bermakna nyata
49,Kuwat,yang bermakna kuat,bermakna kuat
50,Kali,yang bermakna sungai,bermakna sungai
51,Langgeng,yang bermakna kekal,bermakna kekal
52,Makbul,yang bermakna dapat diterima,bermakna diterima
53,Muluk,"yang bermakna terpuji, mulia",bermakna terpuji mulia
54,Nadhif,yang bermakna bangsawan,bermakna bangsawan
55,Nakula,yang bermakna kemenangan,bermakna kemenangan
56,Nahdi,yang bermakna pohon,bermakna pohon
57,Netra,yang bermakna melihat,bermakna melihat
58,Pramana,yang bermakna bijaksana,bermakna bijaksana
59,Panuta,yang bermakna contoh yang baik,bermakna contoh baik
60,Perdana,yang bermakna awalan,bermakna awalan
61,Puja,yang bermakna memuja,bermakna memuja
62,Putra,yang bermakna anak lelaki,bermakna anak lelaki
63,Puntadewa,"yang bermakna diam, hening",bermakna diam hening
64,Raam,yang bermakna memiliki semangat yang tinggi,bermakna memiliki semangat tinggi
65,Rian,yang bermakna raja,bermakna raja
66,Raka,yang bermakna bulan dengan kemuliaan,bermakna bulan kemuliaan
67,Razan,yang bermakna orang bijak,bermakna orang bijak
68,Rifki,yang bermakna baik hati,bermakna baik hati
69,Ramelan,yang bermakna ramalan,bermakna ramalan
70,Rio,yang bermakna bahagia,bermakna bahagia
71,Reyan,yang bermakna pintu surga,bermakna pintu surga
72,Sura,yang bermakna kehidupan yang baru,bermakna kehidupan baru
73,Setia,"yang bermakna setia, loyal",bermakna setia loyal
74,Sigit,yang bermakna tampan,bermakna tampan
75,Surya,yang bermakna matahari,bermakna matahari
76,Sentosa,yang bermakna bebas dari kesusahan,bermakna bebas kesusahan
77,Sakul,yang bermakna sejahtera,bermakna sejahtera
78,Toha,yang bermakna hadiah dari Tuhan,bermakna hadiah tuhan
79,Teguh,yang bermakna sabar,bermakna sabar
80,Topan,yang bermakna badai,bermakna badai
81,Untung,yang bermakna beruntung,bermakna beruntung
82,Unggul,bermakna tinggi,bermakna tinggi
83,Viratha,bermakna keberanian,bermakna keberanian
84,Vikal,yang bermakna senja,bermakna senja
85,Widi,yang bermakna penuh kebajikan,bermakna penuh kebajikan
86,Wayan,yang bermakna anak pertama,bermakna anak pertama
87,Wicky,yang bermakna beruntung,bermakna beruntung
88,Waluyo,yang bermakna panjang umur,bermakna panjang umur
89,Wijaya,yang bermakna beruntung,bermakna beruntung
90,Wibawa,yang bermakna berkharisma,bermakna berkharisma
91,Wira,yang bermakna pahlawan,bermakna pahlawan
92,Wiga,yang bermakna pejuang,bermakna pejuang
93,Qairo,yang bermakna beruntung,bermakna beruntung
94,Jagat,yang bermakna dunia,bermakna dunia
95,Kabul,yang bermakna harapan,bermakna harapan
96,Kulon,yang bermakna barat,bermakna barat
97,Kaliappa,yang bermakna tunas,bermakna tunas
98,Zacky,yang bermakna cerdas,bermakna cerdas
99,Zuben,yang bermakna pemberian Tuha,bermakna pemberian tuha
100,Adam,Manusia pertama yang diciptakan oleh Allah.,manusia pertama diciptakan allah
101,Ahmad,Pujian bagi Nabi Muhammad SAW.,pujian nabi muhammad saw
102,Aiman,"Tujuan, cita-cita yang tinggi.",tujuan cita cita tinggi
103,Aisy,Hidup bahagia dan ceria.,hidup bahagia ceria
104,Ali,"Pemberani, mulia.",pemberani mulia
105,Amir,Pemimpin yang berwibawa.,pemimpin berwibawa
